stop_id,stop_name,stop_lat,stop_lon,original_stop_ids
cluster_0,"Hunting Park / Roosevelt Blvd & Broad St - FS (1, 53, 82, B1) (3 stations)",40.01733133333334,-75.14931533333333,"4,1274,32153"
cluster_1,"Roosevelt Blvd & 3rd St / Roosevelt Blvd & 5th St / Roosevelt Blvd & 5th St - FS / Roosevelt Blvd & 6th St / Wyoming Av & 3rd St / Wyoming Av & 5th St / Wyoming Av & 7th St - FS / Wyoming Av & Fairhill St / Wyoming Av & Roosevelt Blvd (1, 426, 433, 445, 447, 75, 82) (11 stations)",40.02316472727273,-75.13371827272728,"5,23309,160,256,1041,1046,22071,22073,22074,22159,22173"
cluster_2,"Roosevelt Blvd & Cottman Av / Roosevelt Blvd & Cottman Av - FS / Roosevelt Blvd & Friendship St (1, 14, 20, 50, BLVDDIR) (3 stations)",40.043995333333335,-75.05507866666666,"8,22,22913"
cluster_3,"Roosevelt Blvd & Rhawn St / Roosevelt Blvd & Solly Av - FS (1, 14, 20, 50, BLVDDIR) (2 stations)",40.05793,-75.046012,"21,22905"
cluster_4,"Roosevelt Blvd & Adams Av / Roosevelt Blvd & Langdon St / Roosevelt Blvd & Summerdale Av - FS / Roosevelt Blvd & Tower Blvd - FS (1, 41, 426, 445, 447, 8, 82, K) (5 stations)",40.027972399999996,-75.09949639999999,"24,23292,23319,23320,30824"
cluster_5,"Wissahickon / Wissahickon Transit Center (1, 124, 125, 35, 38, 61, 82, NOR) (2 stations)",40.015781849999996,-75.20875889999999,"28,90220"
cluster_6,"20th St & Johnston St / Oregon Av & 22nd St (17, 2, 63, 7) (2 stations)",39.9175305,-75.1829495,"40,24550"
cluster_7,"Hunting Park Av & 19th St / Hunting Park Av & Pulaski Av (2, 445, 447, 82) (2 stations)",40.0137395,-75.1584005,"48,8709"
cluster_8,33rd St & Cecil B Moore Av Loop (3),39.982394,-75.188946,55
cluster_9,"2nd St / 5th St/Independence Hall / Arch St & 3rd St / Chestnut St & 3rd St / Front St & Market St Loop (17, 21, 42, 44, 48, 5, L1) (7 stations)",39.950192,-75.14556128571428,"69,4467,20970,428,2458,32170,32171"
cluster_10,Ogontz Av & 68th Av / Ogontz Av & 69th Av (6) (2 stations),40.058730499999996,-75.149786,"77,11104"
cluster_11,Ogontz Av & 66th Av / Ogontz Av & Stenton Av (6) (2 stations),40.0532685,-75.1500025,"79,80"
cluster_12,"Broad St & Bigler St - FS / Broad St & Oregon Av / Oregon / Oregon Av & 16th St / Oregon Av & Broad St - FS (4, 45, 63, 7, B1) (6 stations)",39.916366000000004,-75.17190566666666,"98,17232,20959,24553,20967,32135"
cluster_13,"Pier 70 WalMart & Home Depot / Tasker St & Columbus Blvd (25, 29, 64, 7) (2 stations)",39.9263575,-75.1430895,"101,23977"
cluster_14,"Roosevelt Blvd & C St / Roosevelt Blvd & C St - FS (1, 41, 426, 445, 447, 8, 82) (2 stations)",40.026589,-75.116983,"124,22409"
cluster_15,"13th St / 15th St/City Hall / 15th/City Hall / Market St & 15th St / Walnut St & Broad St - MBNS / Walnut-Locust (12, 124, 125, 17, 21, 31, 32, 33, 38, 42, 44, 48, 62, 9, B1, B1 OWL, B2, L1, L1 OWL, T1, T2, T3, T4, T5) (13 stations)",39.951644692307696,-75.16406884615384,"130,10266,283,1281,1282,1392,2455,20659,31140,32140,32141,32174,32175"
cluster_16,"20th St & Walnut St / 22nd St / Chestnut St & 21st St / Walnut St & 20th St / Walnut St & 22nd St / Walnut St & 23rd St (12, 17, 21, 42, 9, T1, T2, T3, T4, T5) (7 stations)",39.95191185714286,-75.175954,"131,358,6065,14086,14089,20645,20661"
cluster_17,"Cheltenham Av & Ogontz Av Loop / Ogontz Av & 79th Av (16, 6, 71, 81) (2 stations)",40.073659000000006,-75.1585345,"136,11119"
cluster_18,"56th St & Christian St / Angora / Baltimore Av & 55th St / Baltimore Av & 56th St / Baltimore Av & 57th St / Baltimore Av & 58th St (46, 63, MED, T2) (10 stations)",39.94662802,-75.23678921,"198,20893,20861,20862,20863,20864,20891,20892,20894,90313"
cluster_19,"58th St & Kingsessing Av / 58th St & Woodland Av / 60th St & Kingsessing Av / Chester Av & 57th St / Chester Av & 58th St / Chester Av & 59th St / Chester Av & 60th St / Kingsessing Av & 60th St / Woodland Av & 57th St / Woodland Av & 58th St / Woodland Av & 60th St (409, 411, 63, T3, T4) (16 stations)",39.9339299375,-75.227417875,"199,20749,24536,320,323,20718,20719,20747,20748,20786,20788,20791,20820,20821,20822,20823"
cluster_20,"62nd St & Buist Av / 63rd St & Lindbergh Blvd / Elmwood Av & 61st St / Elmwood Av & 62nd St / Elmwood Av & 63rd St / Elmwood Av & 64th St / Elmwood Av & 65th St (63, T5) (11 stations)",39.92359981818182,-75.22742381818182,"201,24542,20908,20909,20910,20911,20940,20941,20942,20943,20944"
cluster_21,"Chelten Av & Baynton St / Germantown (26, 41, CHE, K) (2 stations)",40.038111,-75.17165785,"213,90713"
cluster_22,"Arrott St & Leiper St / Arrott Transit Center / Orthodox St & Leiper St / Orthodox St & Penn St / Orthodox St & Pilling St / Oxford Av & Frankford Av / Oxford Av & Harrison St / Oxford Av & Penn St / Penn St & Arrott St / Penn St & Foulkrod St / Penn St & Overington St (41, 495, 59, 75, 89, K, L1) (14 stations)",40.01758485714286,-75.0854362857143,"220,217,892,17615,18068,18069,18070,18071,18072,20443,20496,20497,27817,32159"
cluster_23,Wister St & Chelten Av / Wister St & Godfrey Av (51) (2 stations),40.0503935,-75.1578125,"232,15528"
cluster_24,"Stenton Av & Mt Airy Av (51, 71) (2 stations)",40.0689055,-75.1817415,"237,252"
cluster_25,"Plymouth Meeting Mall (150, 27, 51, 90, 95, 98)",40.117196,-75.284034,246
cluster_26,"Chestnut Hill West / Germantown Av & Bethlehem Pk - FS / Gravers / Gravers Ln & Anderson St / Gravers Ln & Germantown Av - FS (23, 51, 77, CHE, CHW) (5 stations)",40.07664138,-75.2050722,"250,17522,17528,90801,90719"
cluster_27,"Stenton Av & Washington Ln / Stenton Av & Washington Ln - FS (18, 51) (2 stations)",40.059635,-75.1656305,"254,19062"
cluster_28,"Hunting Park Av & 24th St / Hunting Park Av & Fox St - FS (1, 445, 447, 56, 82) (2 stations)",40.0085875,-75.170002,"268,22401"
cluster_29,"Allegheny Av & 27th St / Allegheny Av & Hunting Park Av (1, 48, 60, 82) (2 stations)",40.004605999999995,-75.1761735,"275,4339"
cluster_30,"Bustleton Av & Comly St / Bustleton Av & Comly St - FS / Bustleton Av & Deveraux Av / Bustleton Av & Devereux Av (14, 20, 58, 88) (4 stations)",40.0313365,-75.0729935,"326,338,1107,1129"
cluster_31,"Richmond St & Allegheny Av / Richmond St & Clearfield St / Richmond St & Westmoreland St Loop (60, G1) (5 stations)",39.9827138,-75.102067,"341,12196,20979,21113,21114"
cluster_32,"Olney Av & 16th St / Olney Av & Broad St / Olney Av & Broad St - FS / Olney Transit Center / Olney Transit Center - Rt 6 / Olney Transit Center - Rt L / Park Av & Grange St (18, 22, 26, 51, 55, 6, B1, B2, B3) (10 stations)",40.0391862,-75.14517090000001,"372,373,11624,15793,15910,15912,32627,32630,82,32156"
cluster_33,"Franklin Mills & Liberty Bell Blvd / Philadelphia Mills & Marshalls (129, 130, 20, 50, 67, 84) (2 stations)",40.0870625,-74.9651305,"410,21118"
cluster_34,"33rd St / Chestnut St & 32nd St / Drexel Station at 30th St / Walnut St & 30th St - FS (21, 42, L1, T1, T2, T3, T4, T5) (8 stations)",39.954340125,-75.185510875,"432,21356,20642,20643,20658,20662,21532,32176"
cluster_35,"Chelten Av & Chew Av / Chew Av & Church Ln (18, 26, K) (3 stations)",40.04398966666667,-75.16248933333334,"497,15587,15919"
cluster_36,"15th St & Market St / 19th St / 19th St & JFK Blvd / Chestnut St & 17th St / JFK Blvd & 17th St / JFK Blvd & 19th St / Suburban Station (124, 125, 16, 17, 21, 27, 31, 32, 33, 38, 4, 42, 44, 446, 62, 78, 9, AIR, CHE, CHW, CYN, FOX, LAN, MED, NOR, PAO, T1, T2, T3, T4, T5, TRE, WAR, WIL, WTR) (8 stations)",39.9534878625,-75.16947585,"515,6061,8936,8939,31348,20646,20660,90005"
cluster_37,"Torresdale Av & Cottman Av Loop / Torresdale Av & Princeton Av / Torresdale Av & Wellington St (28, 56, 70) (3 stations)",40.029113,-75.03727433333334,"523,17934,17935"
cluster_38,"26th St & Poplar St / 27th St & Brown St / 27th St & Poplar St / Girard Av & 26th St / Girard Av & 27th St / Girard Av & 28th St / Girard Av & 29th St / Poplar St & 25th St / Poplar St & Stillman St (32, 446, 448, 48, 7, G1) (13 stations)",39.97344261538462,-75.18044492307692,"584,14939,21014,21016,21017,21018,21019,21068,21069,21070,21071,21072,21073"
cluster_39,22nd St & Cambria St / 22nd St & Lehigh Av (33) (2 stations),39.9972645,-75.167296,"589,3110"
cluster_40,"34th St / 36th St & Lancaster Av / 36th St & Market St / 36th St Trolley Portal Station / 36th-Sansom / Chestnut St & 34th St / Chestnut St & 37th St / Lancaster Av & 36th St (21, L1, T1, T2, T3, T4, T5) (11 stations)",39.95567736363636,-75.19368881818183,"623,21354,287,2453,20639,20641,20664,20665,20732,20733,32177"
cluster_41,"5th St & Market St - FS / 8th St & Walnut St - FS / 8th and Market / 8th-Market / Chestnut St & 6th St / Market St & 5th St / Market St & 8th St / Market St & 8th St - MBNS / Walnut St & 8th St (12, 17, 21, 33, 38, 42, 44, 47, 47M, 48, 62, 78, 9, B3, L1, L1 OWL, PATCO) (12 stations)",39.95039875,-75.15273466666666,"638,6111,10338,14882,14913,18457,30992,2457,21531,32144,32172,10"
cluster_42,"33rd St & Dauphin St Loop (39, 54, 7)",39.992001,-75.18609,644
cluster_43,Spruce St & 58th St / Spruce St & 60th St - FS (42) (2 stations),39.956269500000005,-75.2400285,"670,22112"
cluster_44,"52nd St & Larchwood St / 52nd St & Pine St - FS / 52nd St & Spruce St - FS / 52nd St & Walnut St / Spruce St & 50th St / Spruce St & 52nd St / Spruce St & 54th St (42, 52) (8 stations)",39.95445025,-75.226062375,"671,21702,21704,21706,21740,21741,22116,22119"
cluster_45,"40th St Portal / 42nd St & Baltimore Av / 42nd St & Chester Av / Baltimore Av & 42nd St / Baltimore Av & 43rd St / Chester Av & 42nd St / Spruce St & 40th St - FS / Spruce St & 41st St (30, 40, 42, LUCYGR, T2, T3, T4, T5) (10 stations)",39.9499062,-75.2059806,"672,22127,301,20804,20807,20876,20879,20880,21432,21433"
cluster_46,"38th Parellel Pl & Dock St - FS / Spruce St & 2nd St / Spruce St & 4th St (12, 21, 42) (3 stations)",39.94482233333333,-75.14567466666666,"673,22137,22139"
cluster_47,"5th St & 64th Av / 5th St & Godfrey Av / 5th St & Medary Av / Godfrey Av & 7th St / Godfrey Loop - FS (47, 57, 70, K) (6 stations)",40.04707,-75.12872066666667,"722,16236,17710,22724,22835,31433"
cluster_48,"10th St & Dauphin St / 12th St & Susquehanna Av - FS / 8th St & Susquehanna Av - FS (23, 47) (3 stations)",39.985894333333334,-75.149529,"725,16104,16108"
cluster_49,"11th St / 12th St & Walnut St / 8th St & Market St / 9-10th and Locust / Jefferson Station / Market St & 10th St / Market St & 11th St - MBNS / Market St & 12th St / Walnut St & 10th St / Walnut St & 12th St (12, 17, 21, 23, 33, 38, 42, 44, 45, 47, 47M, 48, 61, 62, 9, AIR, CHE, CHW, FOX, L1, L1 OWL, LAN, MED, NOR, PAO, PATCO, TRE, WAR, WIL, WTR) (11 stations)",39.95057290909091,-75.15813741818182,"728,10257,10259,10262,14884,14886,16132,2456,32173,90006,11"
cluster_50,"8th St & Passyunk Av / 8th St & Washington Av / 8th St & Wharton St (47, 47M) (3 stations)",39.93473633333333,-75.15724133333333,"729,16302,24345"
cluster_51,"8th St & Snyder Av / 8th St & Wolf St (47, 47M) (2 stations)",39.921963500000004,-75.1600635,"730,16311"
cluster_52,"7th St & Spring Garden St / 8th St & Callowhill St (47, 47M, 61) (2 stations)",39.959860500000005,-75.150957,"736,18441"
cluster_53,"7th St & Girard Av / 8th St & Master St / Girard Av & 5th St / Girard Av & 7th St / Girard Av & 8th St (47, G1) (7 stations)",39.970764714285714,-75.14768014285714,"737,16279,20996,20998,21090,21091,21093"
cluster_54,27th St & Allegheny Av (48),40.004026,-75.173842,753
cluster_55,"12th St & Market St (23, 45)",39.952187,-75.15995,756
cluster_56,"10th St & Bigler St / 8th St & Oregon Av / Oregon Av & 11th St (45, 47, 47M, 63, 7) (3 stations)",39.915113999999996,-75.164312,"759,1182,21253"
cluster_57,"52nd St & Girard Av - FS / 52nd St & Master St - FS / Girard Av & 51st St / Girard Av & 52nd St / Girard Av & 54th St (52, G1) (8 stations)",39.971777,-75.226073875,"767,21694,21032,21033,21035,21053,21055,21056"
cluster_58,52nd St & Haverford Av - FS / 52nd St & Westminster Av - FS (52) (2 stations),39.966313,-75.2249185,"768,21697"
cluster_59,"52nd St / 52nd St & Market St - south (52, L1) (3 stations)",39.960068666666665,-75.22492066666666,"769,2450,32180"
cluster_60,"52nd St & Baltimore Av / 54th St & Whitby Av - FS / Baltimore Av & 51st St / Baltimore Av & 52nd St / Baltimore Av & 53rd St / Baltimore Av & 54th St / Baltimore Av & Broomall St (52, T2) (10 stations)",39.947526800000006,-75.2285476,"771,21710,20865,20866,20867,20868,20887,20888,20889,20890"
cluster_61,"54th St & Chester Av / Chester Av & 52nd St / Chester Av & 53rd St / Chester Av & 54th St / Chester Av & 55th St / Chester Av & 56th St (415, 52, T3) (12 stations)",39.939694333333335,-75.22290558333333,"776,21257,20792,20793,20794,20795,20796,20815,20816,20817,20818,20819"
cluster_62,"Willow Grove Park Mall (22, 310, 311, 55, 95)",40.142263,-75.122493,809
cluster_63,"Erie Av & Kensington Av - FS / Erie-Torresdale (56, L1) (3 stations)",40.005870333333334,-75.09652233333334,"827,838,32161"
cluster_64,"Fern Rock T C / Fern Rock Transit Center (28, 57, 70, AIR, B1, B1 OWL, B2, B3, LAN, MED, WAR, WTR) (3 stations)",40.04144853333333,-75.13614973333334,"841,20965,90407"
cluster_65,"Frankford Transit Center / Frankford Transit Center - Main Dropoff / Frankford Transit Center - Rt 58 / Frankford Transit Center - Rt 66 / Frankford Transit Center-14-BLVDDIR-MFO (14, 19, 20, 24, 26, 3, 50, 58, 66, 67, 88, BLVDDIR, L1, L1 OWL) (6 stations)",40.023185833333336,-75.07769633333334,"867,21204,21962,61,21941,32158"
cluster_66,"Bells Corner Loop / Bustleton Av & Solly Av / Bustleton Av & Strahle St - FS / Castor Av & Arthur St / Castor Av & Hoffnagle St / Castor Av & Rhawn St / Castor Av & Solly Av / Castor Av & Stanwood St (58, 59) (12 stations)",40.0641895,-75.05351641666667,"882,23275,20459,20460,20461,20462,20463,20464,20465,20466,20467,30230"
cluster_67,"Chelten Av & Germantown Av / Chelten Av & Germantown Av - FS / Germantown Av & Chelten Av (23, 26, 41, 438, 439, 65, K) (3 stations)",40.035634666666674,-75.174852,"949,5805,15664"
cluster_68,"Cottman Av & Oxford Av / Cottman Av & Rising Sun Av - FS / Cottman Av & Rockwell Av / Cottman Av & Tabor Av - FS / Oxford Av & Verree Rd - MBNS / Ryers (18, 24, 495, 67, 70, 77, FOX) (7 stations)",40.062293385714284,-75.0840547,"1008,1028,15876,17695,17697,25540,90814"
cluster_69,"Cottman Av & Tabor Av / Cottman Av & Whitaker Av / Cottman Av & Whitaker Av - FS (67, 70, 77) (3 stations)",40.058143,-75.07816100000001,"1027,17501,21268"
cluster_70,Snyder Av & 29th St (79),39.92749,-75.194395,1068
cluster_71,"69th St Blvd & Chestnut St / 69th St Transit Center / 69th St Transit Center North Terminal / 69th St Transit Center South Terminal (103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 120, 123, 21, 30, 65, 68, L1, L1 OWL, M1) (7 stations)",39.96202985714286,-75.25869228571428,"1148,2024,19614,416,20845,31790,32206"
cluster_72,"69th St & Marshall Rd / 69th St & Walnut St (107, 108, 113, 68) (2 stations)",39.9553675,-75.258294,"1149,19615"
cluster_73,"Church Ln & Baltimore Av / Church Ln & Penn St - FS / Fernwood-Yeadon (108, 68, MED) (3 stations)",39.9399314,-75.25600643333333,"1150,19626,90312"
cluster_74,"Chester Av & 65th St / Chester Av & 65th St - FS / Chester Av & Church Ln / Chester Av & Duncan Av / Chester Av & Stetser Av / Chester Av & Yeadon Av / Church Ln & Chester Av / Church Ln & Rader Av - FS (108, 68, T3) (11 stations)",39.92696390909091,-75.24722281818181,"1151,19634,20776,20777,20778,20779,20831,20833,20834,21209,30865"
cluster_75,"Erie / Erie Av & 16th St / Germantown Av & Butler St / Germantown Av & Venango St (23, 53, 56, 71, 81, B1, B2, B3) (5 stations)",40.009369199999995,-75.1517456,"1176,16076,18211,140,32152"
cluster_76,"Broad-Allegheny / Germantown Av & Allegheny Av / Germantown Av & Rising Sun Av (23, B1) (4 stations)",40.002062,-75.15083175000001,"1178,16087,142,32151"
cluster_77,10th St & Cumberland St / Germantown Av & Lehigh Av (23) (2 stations),39.99165,-75.14818700000001,"1179,16102"
cluster_78,"12th St & Girard Av / 12th St & Master St / Broad-Girard / Girard Av & 11th St / Girard Av & 12th St / Girard Av & Broad St (23, B1, B2, B3, G1) (10 stations)",39.971472399999996,-75.15683349999999,"1180,16116,343,352,20966,21001,21002,21086,21087,32147"
cluster_79,"12th St & Federal St / 12th St & Washington Av / Ellsworth-Federal (45, B1) (4 stations)",39.93626075,-75.16524325,"1181,16509,1284,32138"
cluster_80,Germantown Av & Gorgas Ln / Germantown Av & Westview St - FS (23) (2 stations),40.054058,-75.186476,"1190,17228"
cluster_81,"19th St & Girard Av / Girard Av & 17th St / Girard Av & 19th St / Girard Av & 20th St / Girard Av & Corinthian Av / Girard Av & Ridge Av (33, G1) (11 stations)",39.97248781818182,-75.16748190909091,"1206,21006,21008,21009,21010,21078,21079,21080,21081,21082,30290"
cluster_82,Bustleton Av & Cottman Av / Bustleton Av & Saint Vincent St (58) (2 stations),40.04666,-75.06030899999999,"1488,23286"
cluster_83,19th St & Brown St (33),39.968975,-75.168285,2742
cluster_84,"19th St & Callowhill St / 20th St & Ben Franklin Pkwy / 21st St & Ben Franklin Pkwy (32, 33, 48, 49, 7) (3 stations)",39.96001066666667,-75.17191066666668,"2743,2799,16569"
cluster_85,19th St & Green St (33),39.964871,-75.169162,2754
cluster_86,22nd St & York St (33),39.991154,-75.168618,2852
cluster_87,"29th St & Montgomery Av / 29th St & Oxford St (48, 49, 7) (2 stations)",39.981727,-75.181833,"2896,2900"
cluster_88,"21st St & Arch St (48, 49, 7)",39.955931,-75.174675,3092
cluster_89,22nd St & Berks St / 22nd St & Cecil B Moore Av (33) (2 stations),39.981952,-75.17066550000001,"3108,3112"
cluster_90,22nd St & Diamond St (33),39.986479,-75.169686,3121
cluster_91,"Allegheny Av & 32nd St (1, 60, 82)",40.005335,-75.181566,4345
cluster_92,"35th St & Allegheny Av Loop / Allegheny Av & 35th St (1, 60, 82) (2 stations)",40.006009500000005,-75.186545,"4350,30112"
cluster_93,Champlost Av & 16th St / Champlost Av & Broad St (6) (2 stations),40.044587,-75.145277,"5746,5751"
cluster_94,"City Av & Berwick Rd - FS (63, 65)",39.993001,-75.243889,6248
cluster_95,"Erie Av & 20th St / Erie Av & 22nd St / Hunting Park Av & 22nd St (2, 33, 445, 447, 56, 71, 81, 82) (4 stations)",40.0106915,-75.1624955,"8712,18162,18215,18217"
cluster_96,Ogontz Av & 74th Av / Ogontz Av & 76h Av (6) (2 stations),40.0685325,-75.156803,"11111,11112"
cluster_97,"Nedro Av & 19th St / Ogontz Av & Roselyn St (51, 6) (2 stations)",40.044716,-75.1511295,"11135,15496"
cluster_98,"Oregon Av & 4th St - FS / Oregon Av & 6th St (47, 47M, 57, 63, 7) (3 stations)",39.91496766666666,-75.15709233333332,"11468,16497,18578"
cluster_99,"Ridge Av & Jefferson St (33, 61)",39.977367,-75.169566,12293
cluster_100,"Nedro Av & 21st St / Olney Av & Penn Blvd - FS / Wister St & Sprague St (18, 26, 51) (3 stations)",40.044038666666665,-75.15758633333333,"15501,15508,15918"
cluster_101,Stenton Av & Walnut Ln / Wister St & Stenton Av (51) (2 stations),40.0557965,-75.15904549999999,"15546,15554"
cluster_102,Stenton Av & Upsal St (51),40.062586,-75.170652,15581
cluster_103,Stenton Av & Sedgwick St / Stenton Av & Vernon Rd (51) (2 stations),40.0659765,-75.176536,"15589,15592"
cluster_104,Stenton Av & Roumfort Rd (51),40.071623,-75.186387,15608
cluster_105,Stenton Av & Mermaid Ln (51),40.074157,-75.190637,15616
cluster_106,Stenton Av & Cresheim Valley Rd / Stenton Av & Willow Grove Av (51) (2 stations),40.0772555,-75.1961215,"15617,15619"
cluster_107,Evergreen Av & Prospect Av / Stenton Av & Gravers Ln (51) (2 stations),40.0799305,-75.20181450000001,"15620,15621"
cluster_108,"Germantown Av & Harvey St / Germantown Av & High St / Germantown Av & Tulpehocken St (23, 438, 439, 65) (3 stations)",40.04018833333333,-75.17838,"15651,17197,17202"
cluster_109,"Chelten Av & Wayne Av / Chelten Avenue (26, 41, 438, 439, 65, CHW) (2 stations)",40.030950000000004,-75.17984115,"15661,90808"
cluster_110,"Chelten Av & Magnolia St (26, K)",40.041581,-75.168753,15669
cluster_111,"Olney / Olney Av & B St / Olney Av & Front St (18, 26, 57, FOX) (5 stations)",40.03469946,-75.12016056,"15697,15698,15898,16739,90811"
cluster_112,Germantown Av & Ashmead St / Germantown Av & Seymour St (23) (2 stations),40.0300915,-75.165231,"15704,17048"
cluster_113,"Courtland St & 17th St / Courtland St & 18th St / Courtland St & 19th St / Courtland St & Windrum Av / Germantown Av & Dennie St / Germantown Av & Windrim Av / Roberts Av & Green St / Wayne Av & Roberts Av / Wayne Junction / Windrim Av & Germantown Av / Windrim Av & Wayne Av / Windrum Av & 20th St - MBNS / Windrum Av & Germantown Av / Wingohocking St & 17th St / Wingohocking St & 18th St / Wingohocking St & 19th St / Wingohocking St & Uber St (2, 23, 75, AIR, CHE, FOX, LAN, MED, WAR) (17 stations)",40.02257983529412,-75.1572795882353,"15711,15713,22050,22056,22057,22058,22059,22198,22199,22201,22202,22203,25815,27816,27818,30295,90009"
cluster_114,"Germantown Av & Hunting Park Av / Germantown Av & Juniata St / Hunting Park Av & Germantown Av (1, 23, 445, 82) (3 stations)",40.01664333333333,-75.15440833333334,"15716,15718,22404"
cluster_115,"Chew Av & Penn Blvd / Olney Av & 20st St - MBFS / Olney Av & 20th St - MBNS (18, 26) (3 stations)",40.04080366666667,-75.15702700000001,"15779,15786,15916"
cluster_116,"Olney Av & 18th St - FS / Olney Av & 18th St - MBNS (18, 26) (2 stations)",40.0392345,-75.1523215,"15791,15914"
cluster_117,"Olney Av & 11th St / Olney Av & Wagner Av (18, 26) (3 stations)",40.03765933333333,-75.13852033333333,"15798,15800,15907"
cluster_118,"Olney Av & 6th St (18, 26) (2 stations)",40.036694,-75.1324805,"15815,16963"
cluster_119,"Olney Av & 3rd St (18, 26)",40.036027,-75.127748,15819
